compiler,benchmark_id,target_device_id,measurement_id,uncompiled_ideal,compiled_ideal,uncompiled_noisy,compiled_noisy,rel_err_noisy,rel_err_ideal
ucc,qaoa,,qaoa,5.579981587008057,5.579981587008089,3.686509319501648,3.3012148851835574,0.10451470751334713,1.79211490092257e-09
ucc,qv,,heavy_output,-0.47007431869530514,-0.6139438644018224,-0.6143359342108033,-0.575802185262157,0.06272421557985242,0.30605704895004426
ucc,qft,,computational_basis,2.1684237122734696e-19,-1.1485558135488961e-17,7.589415207398531e-19,-6.7220534694101275e-18,1.0000000006722054,1.000000001148556
ucc,square_heisenberg,,hamlib_heisenberg_pbc-qubitnodes_Lx_Ly_h-0.5,22.500000000000025,22.500000000000025,14.973890578763793,19.849614035792634,0.3256150042052208,4.4444448121794267e-10
ucc,prep_select,,computational_basis,-2.13469795757649e-18,1.537989060622649e-16,-5.421010862427522e-19,1.6589229991006288e-08,0.6589229991905592,0.9999999846201094
ucc,qcnn,,qcnn,-0.22726304989441679,-0.2272630498944211,-0.2074729737375412,-0.20558009705266017,0.009123437824291925,4.4001894572431866e-08
pytket-peep,qaoa,,qaoa,5.579981587007949,5.579981587007947,3.6865093195015795,3.680169728312268,0.0017196758837901838,1.792120896126903e-09
pytket-peep,qv,,heavy_output,-0.5086345553245085,-0.4733191750162197,-0.5725074439637216,-0.5819419481331264,0.01647928674757204,0.06943171798478143
pytket-peep,qft,,computational_basis,-3.686286928736212e-18,-3.035269253696442e-18,-1.0842021724855044e-18,-5.421010862427522e-19,1.0000000000542102,1.000000000303527
pytket-peep,square_heisenberg,,hamlib_heisenberg_pbc-qubitnodes_Lx_Ly_h-0.5,22.499999999999876,22.499999999999964,14.973890578763728,20.119744653898298,0.34365511318721476,4.44440484415054e-10
pytket-peep,prep_select,,computational_basis,1.0122463213995252e-16,8.484128661449462e-17,-8.998878031629687e-18,-2.0599841277224584e-18,1.0000000002059983,0.9999999915158714
pytket-peep,qcnn,,qcnn,-0.22726304989441448,-0.22726304989444385,-0.20747297373753948,-0.20722882313451169,0.0011767345423215891,4.400200470655591e-08
qiskit-default,qaoa,,qaoa,5.579981587008057,5.579981587008057,3.686509319501648,3.686509319501648,2.7125931501004175e-09,1.7921205630599957e-09
qiskit-default,qv,,heavy_output,-0.6158623951034647,-0.5151365994824673,-0.6180094890997445,-0.5833862303702283,0.05602381500677289,0.16355242349161414
qiskit-default,qft,,computational_basis,2.1684237122734696e-19,2.168416174851491e-18,7.589415207398531e-19,3.2526065174565133e-19,0.9999999999674739,0.9999999997831583
qiskit-default,square_heisenberg,,hamlib_heisenberg_pbc-qubitnodes_Lx_Ly_h-0.5,22.500000000000025,22.50000000000004,14.973890578763793,19.984179327493944,0.3346016660820137,4.444438150841279e-10
qiskit-default,prep_select,,computational_basis,-2.13469795757649e-18,-6.514342777672751e-19,-5.421010862427522e-19,-1.951563910473908e-18,1.0000000001951563,1.0000000000651434
qiskit-default,qcnn,,qcnn,-0.22726304989441679,-0.22726304989441826,-0.2074729737375412,-0.20830852451536827,0.004027323670394267,4.4001881915889385e-08
cirq,qaoa,,qaoa,5.579981588016547,5.579981588016544,3.686509320141693,3.686509320141693,2.7125931501004175e-09,1.792121118171508e-09
cirq,qv,,heavy_output,-0.6104037863549912,-0.6044421573703452,-0.6111955023031164,-0.6168869698258403,0.009312041064434728,0.009766681032423286
cirq,qft,,computational_basis,-2.3852411993012286e-18,-2.168482581096327e-19,-3.144186300207963e-18,5.095750210681871e-18,0.999999999490425,1.0000000000216849
cirq,square_heisenberg,,hamlib_heisenberg_pbc-qubitnodes_Lx_Ly_h-0.5,22.499999999999996,22.499999999999964,14.973890578767392,19.787182291120327,0.3214456305673561,4.444459245078747e-10
cirq,prep_select,,computational_basis,-7.103990119857024e-17,2.323633950943304e-17,2.3310346708438345e-17,2.8966141820850264e-08,1.8966141753329184,0.999999997676366
cirq,qcnn,,qcnn,-0.22726304915736445,-0.22726304915736445,-0.20747297308795212,-0.20747297308795212,4.8199051416730754e-08,4.400187569864045e-08
